emdb_id,resolution,fitted_pdbs
EMD-63092,3.11,9lhb
EMD-48793,3.37,9n0t
EMD-61836,3.1,9jv1
EMD-48791,2.71,9n0r
EMD-47932,3.23,9ed4
EMD-63658,3.4,9m64
EMD-61256,2.94,9j99
EMD-49758,3.05,9ntc
EMD-64187,3.2,9ui8
EMD-63086,2.69,9lh6
EMD-48402,3.3,9mms
EMD-61369,2.76,9jcl
EMD-71819,2.6,9ps1
EMD-70246,2.44,9o9d
EMD-71826,2.97,9ps8
EMD-70315,3.3,9och
EMD-63090,2.98,9lh9
EMD-61451,3.2,9jg5
EMD-48790,3.09,9n0q
EMD-65096,3.24,9viq
EMD-53879,3.0,9rai
EMD-63084,2.61,9lh5
EMD-70241,3.1,9o94
EMD-63095,3.25,9lhe
EMD-71500,2.91,9pc9
EMD-63592,3.31,9m2w
EMD-64188,3.42,9ui9
EMD-61450,3.02,9jg4
EMD-46798,3.0,9det
EMD-63089,2.74,9lh8
EMD-48792,3.47,9n0s
EMD-49275,2.82,9ndp
EMD-39915,2.58,8zbw
EMD-51422,3.04,9gkk
EMD-65097,3.06,9vix
EMD-63093,3.17,9lhc
EMD-70316,3.3,9oci
EMD-61458,3.06,9jg8
EMD-70317,3.0,9ocj
EMD-46760,3.08,9dd8
EMD-48397,3.4,9mmp
EMD-61413,2.58,9jed
EMD-46762,2.99,9dda
EMD-48399,2.9,9mmq
EMD-63094,3.24,9lhd
EMD-63091,2.96,9lha
EMD-71501,3.42,9pcb
EMD-61418,3.16,9jei
EMD-64183,2.91,9ui4
EMD-71820,2.15,9ps2
EMD-46765,2.9,9ddc
EMD-46758,3.1,9dd6
EMD-61459,2.97,9jg9
EMD-47939,3.16,9ed7
EMD-51437,2.6,9gl6
EMD-48794,3.46,9n0u
EMD-70737,3.11,9oq3
EMD-53433,2.6,9qx1
EMD-65300,3.2,9vsc
EMD-63115,3.06,9lig
EMD-70735,3.27,9oq2
EMD-52306,2.93,9hn4
EMD-62495,3.23,9kq3
EMD-71548,2.85,9pdy
EMD-52019,3.2,9hbk
EMD-52297,3.4,9hms
EMD-48122,2.89,9ekh
EMD-61239,3.4,9j8r
EMD-72121,2.83,9q1a
EMD-61271,3.18,9j9g
EMD-63971,2.85,9u9v
EMD-61977,3.3,9k1o
EMD-64989,2.61,9vdn
EMD-62490,3.36,9kps
EMD-62395,2.6,9kkq
EMD-48883,3.2,9n4k
EMD-70313,2.73,9ocf
EMD-53426,3.1,9qws
